date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:08	5142/5142	------	404	error ('Not%20Found')	text/html	etag:W/%225e6d6874-239b%22	https://ps2dev.github.io/robots.txt		(from )
16:28:08	198188/198188	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-3062c%22	https://ps2dev.github.io/ps2sdk/annotated.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/annotated.html	(from )
16:28:08	341952/341952	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-537c0%22	https://ps2dev.github.io/ps2sdk/files.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/files.html	(from )
16:28:08	5708/5708	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-164c%22	https://ps2dev.github.io/ps2sdk/modules.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/modules.html	(from )
16:28:08	3374/3374	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-d2e%22	https://ps2dev.github.io/ps2sdk/pages.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/pages.html	(from )
16:28:08	10349/10349	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-286d%22	https://ps2dev.github.io/ps2sdk/index	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/index.html	(from )
16:28:09	9184/9184	---M-Z	200	added ('OK')	text/css	etag:W/%2261b1f71e-23e0%22	https://ps2dev.github.io/ps2sdk/tabs.css	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/tabs.css	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:10	4735/4735	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261b1f71e-127f%22	https://ps2dev.github.io/ps2sdk/dynsections.js	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/dynsections.js	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:11	4451/4451	---M-Z	200	added ('OK')	text/css	etag:W/%2261b1f71e-1163%22	https://ps2dev.github.io/ps2sdk/search/search.css	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/search/search.css	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:12	743/743	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261b1f71e-2e7%22	https://ps2dev.github.io/ps2sdk/search/searchdata.js	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/search/searchdata.js	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:13	23521/23521	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261b1f71e-5be1%22	https://ps2dev.github.io/ps2sdk/search/search.js	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/search/search.js	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:14	31428/31428	---M-Z	200	added ('OK')	text/css	etag:W/%2261b1f71e-7ac4%22	https://ps2dev.github.io/ps2sdk/doxygen.css	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/doxygen.css	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:16	5347/5347	---M-Z	200	added ('OK')	text/css	etag:W/%2261b1f71e-14e3%22	https://ps2dev.github.io/ps2sdk/code.css	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/code.css	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:16	9684/9684	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261b1f71e-25d4%22	https://ps2dev.github.io/ps2sdk/menudata.js	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/menudata.js	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:17	3222/3222	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261b1f71e-c96%22	https://ps2dev.github.io/ps2sdk/menu.js	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/menu.js	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:18	9339/9339	------	404	error ('Not%20Found')	text/html	etag:W/%225f73d2f6-247b%22	https://ps2dev.github.io/ps2sdk/search.php	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/search.f.delayed	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:18	7636/7636	---M-Z	200	added ('OK')	text/html	etag:W/%2261b1f71e-1dd4%22	https://ps2dev.github.io/ps2sdk/struct_adpcm_block.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct_adpcm_block.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:19	10466/10466	---M-Z	200	added ('OK')	text/html	etag:W/%2261b1f71e-28e2%22	https://ps2dev.github.io/ps2sdk/struct_adpcm_header.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct_adpcm_header.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:20	39450/39450	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-9a1a%22	https://ps2dev.github.io/ps2sdk/ps2ipc_8c.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/ps2ipc_8c.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:20	6586/6586	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-19ba%22	https://ps2dev.github.io/ps2sdk/struct_8fields.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct_8fields.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:20	6989/6989	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-1b4d%22	https://ps2dev.github.io/ps2sdk/struct_8login.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct_8login.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:20	129117/129117	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-1f85d%22	https://ps2dev.github.io/ps2sdk/libpad_8c.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/libpad_8c.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:20	21990/21990	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-55e6%22	https://ps2dev.github.io/ps2sdk/libmouse_8c.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/libmouse_8c.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:20	33050/33050	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-811a%22	https://ps2dev.github.io/ps2sdk/union_8smb.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/union_8smb.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:20	241655/241655	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-3aff7%22	https://ps2dev.github.io/ps2sdk/struct____attribute____.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct____attribute____.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:20	5114/5114	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-13fa%22	https://ps2dev.github.io/ps2sdk/union____attribute_____8____unnamed126____.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/union____attribute_____8____unnamed126____.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:20	21127/21127	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-5287%22	https://ps2dev.github.io/ps2sdk/draw__types_8h.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/draw__types_8h.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:20	5660/5660	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-161c%22	https://ps2dev.github.io/ps2sdk/struct__ata__cmd__info.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct__ata__cmd__info.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	10193/10193	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-27d1%22	https://ps2dev.github.io/ps2sdk/struct__ata__cmd__state.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct__ata__cmd__state.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	38722/38722	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-9742%22	https://ps2dev.github.io/ps2sdk/ps2atad_8c.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/ps2atad_8c.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	5822/5822	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-16be%22	https://ps2dev.github.io/ps2sdk/union__ata__cmd__state_8____unnamed89____.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/union__ata__cmd__state_8____unnamed89____.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	26315/26315	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-66cb%22	https://ps2dev.github.io/ps2sdk/atad_8h.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/atad_8h.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	28787/28787	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-7073%22	https://ps2dev.github.io/ps2sdk/atahw_8h.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/atahw_8h.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	13685/13685	---M--	200	added ('OK')	text/html	etag:%2261b1f71e-3575%22	https://ps2dev.github.io/ps2sdk/struct_adpcm_setup.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct_adpcm_setup.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	34128/34128	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-8550%22	https://ps2dev.github.io/ps2sdk/usbhdfsd_8h.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/usbhdfsd_8h.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	10450/10450	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-28d2%22	https://ps2dev.github.io/ps2sdk/struct__cbw__packet.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct__cbw__packet.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	23431/23431	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-5b87%22	https://ps2dev.github.io/ps2sdk/ncmd_8c.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/ncmd_8c.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	7619/7619	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-1dc3%22	https://ps2dev.github.io/ps2sdk/struct__csw__packet.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct__csw__packet.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	12982/12982	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-32b6%22	https://ps2dev.github.io/ps2sdk/dev9regs_8h.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/dev9regs_8h.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	70459/70459	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-1133b%22	https://ps2dev.github.io/ps2sdk/devfs_8c.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/devfs_8c.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	84685/84685	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-14acd%22	https://ps2dev.github.io/ps2sdk/usbdpriv_8h.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/usbdpriv_8h.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	32599/32599	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-7f57%22	https://ps2dev.github.io/ps2sdk/excepman_8h.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/excepman_8h.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	33565/33565	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-831d%22	https://ps2dev.github.io/ps2sdk/struct__fat32__raw__bpb.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct__fat32__raw__bpb.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	17686/17686	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-4516%22	https://ps2dev.github.io/ps2sdk/struct__fat__dir.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct__fat__dir.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
16:28:21	5908/5908	------	200	untouched ('OK')	text/html	etag:W/%2261b1f71e-1714%22	https://ps2dev.github.io/ps2sdk/struct__fat__dir__chain__record.html	/srv/http/rinassam/mirrors/ps2sdk/ps2dev.github.io/ps2sdk/struct__fat__dir__chain__record.html	(from https://ps2dev.github.io/ps2sdk/annotated.html)
